"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","316","Delete file","LMS service","Mon May 11 08:51:37 UTC 2026","passed","Mon May 11 08:51:38 UTC 2026","Delete entity","Files","",""
"","263","Create file with empty filename","LMS service","Mon May 11 08:51:36 UTC 2026","passed","Mon May 11 08:51:36 UTC 2026","Validate entity","Files","",""
"","35","Get courses","LMS service","Mon May 11 08:51:30 UTC 2026","passed","Mon May 11 08:51:30 UTC 2026","Get entities","Courses","",""
"","41","Update course","LMS service","Mon May 11 08:51:31 UTC 2026","passed","Mon May 11 08:51:31 UTC 2026","Update entity","Courses","",""
"","572","Create user","LMS service","Mon May 11 08:51:38 UTC 2026","passed","Mon May 11 08:51:39 UTC 2026","Create entity","Users","",""
"","17","Get exercises","LMS service","Mon May 11 08:51:35 UTC 2026","passed","Mon May 11 08:51:35 UTC 2026","Get entities","Exercises","",""
"","18","Get file","LMS service","Mon May 11 08:51:36 UTC 2026","passed","Mon May 11 08:51:36 UTC 2026","Get entity","Files","",""
"","20","Update exercise","LMS service","Mon May 11 08:51:32 UTC 2026","passed","Mon May 11 08:51:32 UTC 2026","Update entity","Exercises","",""
"","24","Create exercise","LMS service","Mon May 11 08:51:32 UTC 2026","passed","Mon May 11 08:51:32 UTC 2026","Create entity","Exercises","",""
"","19","Delete exercise","LMS service","Mon May 11 08:51:34 UTC 2026","passed","Mon May 11 08:51:34 UTC 2026","Delete entity","Exercises","",""
"","549","Create user","LMS service","Mon May 11 08:51:38 UTC 2026","passed","Mon May 11 08:51:38 UTC 2026","Create entity","Users","",""
"","19","Get exercise","LMS service","Mon May 11 08:51:34 UTC 2026","passed","Mon May 11 08:51:34 UTC 2026","Get entity","Exercises","",""
"","39","Create course","LMS service","Mon May 11 08:51:31 UTC 2026","passed","Mon May 11 08:51:31 UTC 2026","Create entity","Courses","",""
"","270","Create file with empty directory","LMS service","Mon May 11 08:51:37 UTC 2026","passed","Mon May 11 08:51:37 UTC 2026","Validate entity","Files","",""
"","296","Create user","LMS service","Mon May 11 08:51:38 UTC 2026","passed","Mon May 11 08:51:38 UTC 2026","Create entity","Users","",""
"","14","Get user me","LMS service","Mon May 11 08:51:39 UTC 2026","passed","Mon May 11 08:51:39 UTC 2026","Get entity","Users","",""
"","553","Login with correct email and password","LMS service","Mon May 11 08:51:29 UTC 2026","passed","Mon May 11 08:51:30 UTC 2026","Login","Authentication","",""
"","34","Create file","LMS service","Mon May 11 08:51:35 UTC 2026","passed","Mon May 11 08:51:35 UTC 2026","Create entity","Files","",""
"
        Тест проверяет, что запрос файла с некорректным ID (не UUID) возвращает ошибку валидации.
        ","271","Get file with incorrect file id","LMS service","Mon May 11 08:51:38 UTC 2026","passed","Mon May 11 08:51:38 UTC 2026","Validate entity","Files","",""
